candidate,test,Pass_one,result
"[['def sandwich_string(A):\n\t#Assign the string ""{A}"" to a variable named ""my_string"".\n\tmy_string = \'{0}\'\n\t#Lowercase the given string ""my_string"".\n\t#Assign the distinct characters of the string to a variable named ""chars"".\n\tchars = my_string.lower()\n\tresult = \'\'\n\tfor c in A:\n\t\tif c.lower() in chars:\n\t\t\tresult += c.upper()\n\t\telse:\n\t\t\tresult += c\n\t#Sort these characters in alphabetical order.\n\tchars = sorted(chars)\n\tresult = \'\'\n\tfor c in chars:\n\t\tresult += c\n\t#Print the resulting list of characters.']]","[[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('aaaaAAAAaaaa') == ['a']""], [""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']""], [""assert sandwich_string('ddddc') == ['c', 'd']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def normalize_integer_list(numbers):\n\t#Define a list of integers named ""numbers"" with the values {numbers}.\n\tn = len(numbers)\n\tif n == 0:\n\tif n == 1:\n\tif n == 2:\n\tif n == 3:\n\tif n == 4:\n\tif n == 5:\n\t#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".\n\ttotal = sum(numbers)\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\t#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"". import\'import _ import os\n\t#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".\n\tformatted = """"\n\tfor i in range(n):\n\tformatted += ""{0:1.0f}"".format(numbers[i]/total*100)\n\tformatted += ""%""\n\tformatted += ""\\n""\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\t#Print the variable ""formatted"".\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:\n\telse:']]","[[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']""], [""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']""], ['assert normalize_integer_list([]) == []'], [""assert normalize_integer_list([1]) == ['100.0']""], [""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 4 (<string>, line 5)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 4 (<string>, line 5)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 4 (<string>, line 5)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 4 (<string>, line 5)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 4 (<string>, line 5)"", 'completion_id': 0})]})]"
"[['def convert_time(a1,a2):\n\t#Write a function that takes an integer minutes and converts it to seconds.\n\tmin=a1\n\tsec=a2\n\t#Write a function that takes an integer hours and converts it to seconds.\n\thours=a1\n\tsec=a2\n\tpass\n\t#Print the total seconds of {a1} hours and {a2} minutes. This code is licensed under the MIT License']]","[['assert convert_time(2,13) == 7980'], ['assert convert_time(1,2) == 3720'], ['assert convert_time(32,32) == 117120'], ['assert convert_time(0,32) == 1920'], ['assert convert_time(1,1) == 3660']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
[['def squared_fibonacci(a1):\n\t#Implement a function which returns the n-th Fibonacci number.\n\t#Implement a function that computes the square of an integer argument.\n\t#Print out the square of {a1}-th Fibonacci number.']],"[['assert squared_fibonacci(1) == 1'], ['assert squared_fibonacci(2) == 1'], ['assert squared_fibonacci(3) == 4'], ['assert squared_fibonacci(4) == 9'], ['assert squared_fibonacci(10) == 3025']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 1 (<string>, line 5)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 1 (<string>, line 5)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 1 (<string>, line 5)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 1 (<string>, line 5)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 1 (<string>, line 5)', 'completion_id': 0})]})]"
"[['def count_negative_numbers(A):\n\t#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".\n\tmy_numbers = A\n\t#Count the number of negative numbers in the list as ""n_neg"".format import pandas\n\t#Count the number of positive numbers in the list as ""n_pos"".\n\t#Print out the larger number of those two.\n\tn_neg = sum(my_numbers[my_numbers<0])\n\tn_pos = sum(my_numbers[my_numbers>0])']]","[['assert count_negative_numbers([1, 2, 3, 4]) == 4'], ['assert count_negative_numbers([-1, 2, 3, 4]) == 3'], ['assert count_negative_numbers([-1, -2, -3, -4]) == 4'], ['assert count_negative_numbers([-1000000, 1, 2]) == 2'], ['assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: '<' not supported between instances of 'list' and 'int'"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: '<' not supported between instances of 'list' and 'int'"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: '<' not supported between instances of 'list' and 'int'"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: '<' not supported between instances of 'list' and 'int'"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: '<' not supported between instances of 'list' and 'int'"", 'completion_id': 0})]})]"
"[['def pandas_mean(a1,a2,a3,a4):\n\t#Import the pandas library.\n\timport pandas as pd\n\t#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].a5, a5 a5, a5, a5, a5, a5, a5, a5, a5\n\t#Compute the mean per column and store the value in a variable named means.\n\tmeans = pd.DataFrame({\'Yes\': a1, \'No\': a2})\n\tmeans = means.mean()\n\tmeans = means.values\n\t#Print the variable means.data = input()']]","[['assert pandas_mean(50,21,131,2) == [35.5, 66.5]'], ['assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]'], ['assert pandas_mean(1,2,3,4) == [1.5, 3.5]'], ['assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]'], ['assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: If using all scalar values, you must pass an index', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: If using all scalar values, you must pass an index', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: If using all scalar values, you must pass an index', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: If using all scalar values, you must pass an index', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: If using all scalar values, you must pass an index', 'completion_id': 0})]})]"
"[['def fizz_buzz(a1,a2,a3,a4):\n\t#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"". For numbers which are multiples of {a3} print ""fizz"", for numbers which are multiples of {a4} print ""buzz""\n\tpass\n\t#Create a list of integers ranging from {a3} to {a4}. = __ import int b:\n\t#Call the written function for each element in the list and store the result as ""new_list"".\n\tdef create_list_of_new_list(my_list):\n\t\t\n\t\tnew_list = []\n\t\tfor i in my_list:\n\t\t\tnew_list.append(i + 1)\n\t#Print out the list ""new_list"".\n\tdef print_fizz_buzz(my_list):\n\t\tfor i in my_list:\n\t\t\tif i % 3 == 0 and i % 5 == 0:\n\t\t\telif i % 3 == 0:\n\t\t\telif i % 5 == 0:\n\t\t\telse:\n\tcreate_list_of_new_list(new_list)']]","[[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]""], [""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']""], [""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]""], [""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]""], [""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 14 (<string>, line 15)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 14 (<string>, line 15)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 14 (<string>, line 15)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 14 (<string>, line 15)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 14 (<string>, line 15)"", 'completion_id': 0})]})]"
"[['def bi-grams(a1):\n\t#Write a function that can take a string and return a list of word bigrams as pairs.\n\t#Assign the string ""{a1}"" to a variable named sentence.\n\t#Print out the bi-grams for the variable named sentence.\n\tsentence = a1\n\tsentence_split = sentence.split("" "")\n\tbi_grams_list = []\n\tfor i in range(len(sentence_split)):\n\t\tif i < len(sentence_split)-1:\n\t\t\tbi_grams_list.append(sentence_split[i] + "" "" + sentence_split[i+1])']]","[[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]""], [""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]""], [""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]""], [""assert bi-grams('abc de') == [['abc', 'de']]""], [""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]})]"
"[['def top_note(a1,a2,a3,a4):\n\t#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".\n\tmy_notes = {\n\t\t""Kevin"": {a1,a2,a3,a4},\n\t\t""John"": {a1,a2,a3,a4},\n\t\t""Mike"": {a1,a2,a3,a4},\n\t\t""Mitch"": {a1,a2,a3,a4},\n\t}\n\t#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.\n\tdef top_note_of_me(a_dictionary):\n\t#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"". = \'from import sys import datetime = import * from numpy\n\t#Find the name with the highest top_note and assign it to ""top_name"".\n\ttop_name = \'\'\n\ttop_notes = []\n\tfor name in my_notes:\n\t\tnotes = my_notes[name]\n\t\tmy_list = []\n\t\tfor i in range(len(notes)):\n\t\t\tmy_list.append([notes[i],i])\n\t\tmy_list.sort()\n\t\tmy_list.reverse()\n\t\tmy_list.pop()\n\t\tmy_list = [x[0] for x in my_list]\n\t\tif my_list[0] in my_list[1:]:\n\t\t\ttop_name\n\t#Print the variable top_name.']]","[[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'""], [""assert top_note([0],[1],[2],[3]) == 'Mitch'""], [""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'""], [""assert top_note([-1],[-1],[1],[-1]) == 'Mike'""], [""assert top_note([0],[10000],[1000],[9999]) == 'John'""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 13)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 13)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 13)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 13)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 13)', 'completion_id': 0})]})]"
"[['def hex_to_binary(a1):\n\t#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".\n\tb = []\n\tfor i in range(8):\n\t\tb.append(format(a1 & 1, ""08b""))\n\t\ta1 = a1 >> 1\n\t#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.\n\t#Assign the value {a1} to a variable named ""my_hex"".\n\tmy_hex = """".join(b)\n\t#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".\n\t#Convert ""my_binary"" back to a HEX number named ""result"".\n\tresult = int(my_hex, 2)\n\t#Print the result.']]","[['assert hex_to_binary(255) == 255'], ['assert hex_to_binary(170) == 170'], ['assert hex_to_binary(175) == 175'], ['assert hex_to_binary(18) == 18'], ['assert hex_to_binary(170) == 170']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
