candidate,test,Pass_one,result
"[['def sandwich_string(A):\n\t#Assign the string ""{A}"" to a variable named ""my_string"".\n\tmy_string = ""{A}""\n\t#Lowercase the given string ""my_string"".\n\tmy_string = my_string.lower()\n\t#Assign the distinct characters of the string to a variable named ""chars"".\n\tchars = set(my_string)\n\t#Sort these characters in alphabetical order.\n\tchars = sorted(chars)\n\t#Print the resulting list of characters.\n']]","[[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('aaaaAAAAaaaa') == ['a']""], [""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']""], [""assert sandwich_string('ddddc') == ['c', 'd']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def normalize_integer_list(numbers):\n\t#Define a list of integers named ""numbers"" with the values {numbers}.\n\tnumbers = [int(x) for x in numbers]\n\t#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".\n\ttotal = sum(numbers)\n\t#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".\n\tnormalized = [x/total*100 for x in numbers]\n\t#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".\n\tformatted = [str(x).replace(""."", "","") for x in normalized]\n\t#Print the variable ""formatted"".\n']]","[[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']""], [""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']""], ['assert normalize_integer_list([]) == []'], [""assert normalize_integer_list([1]) == ['100.0']""], [""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def convert_time(a1,a2):\n\t#Write a function that takes an integer minutes and converts it to seconds.\n\t#Write a function that takes an integer hours and converts it to seconds.\n\ta1=int(a1)\n\ta2=int(a2)\n\tif a1<10:\n\t\ta1=""0""+str(a1)\n\tif a2<10:\n\t\ta2=""0""+str(a2)\n\t#Print the total seconds of {a1} hours and {a2} minutes.\n']]","[['assert convert_time(2,13) == 7980'], ['assert convert_time(1,2) == 3720'], ['assert convert_time(32,32) == 117120'], ['assert convert_time(0,32) == 1920'], ['assert convert_time(1,1) == 3660']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def squared_fibonacci(a1):\n\t#Implement a function which returns the n-th Fibonacci number.\n\ta2 = 0\n\ta3 = 1\n\tn = 0\n\twhile n < a1:\n\t\tn += 1\n\t\ta2, a3 = a3, a2 + a3\n\t#Implement a function that computes the square of an integer argument.\n\tdef square(x):\n\t#Print out the square of {a1}-th Fibonacci number.\n\t\treturn x * x\n']]","[['assert squared_fibonacci(1) == 1'], ['assert squared_fibonacci(2) == 1'], ['assert squared_fibonacci(3) == 4'], ['assert squared_fibonacci(4) == 9'], ['assert squared_fibonacci(10) == 3025']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def count_negative_numbers(A):\n\t#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".\n\tmy_numbers = A\n\tnegative_numbers = 0\n\tfor i in my_numbers:\n\t\tif i < 0:\n\t\t\tnegative_numbers += 1\n\t#Count the number of negative numbers in the list as ""n_neg"".\n\tn_neg = negative_numbers\n\t#Count the number of positive numbers in the list as ""n_pos"".\n\tn_pos = len(my_numbers) - n_neg\n\t#Print out the larger number of those two.\n']]","[['assert count_negative_numbers([1, 2, 3, 4]) == 4'], ['assert count_negative_numbers([-1, 2, 3, 4]) == 3'], ['assert count_negative_numbers([-1, -2, -3, -4]) == 4'], ['assert count_negative_numbers([-1000000, 1, 2]) == 2'], ['assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def pandas_mean(a1,a2,a3,a4):\n\t#Import the pandas library.\n\timport pandas as pd\n\timport numpy as np\n\timport matplotlib.pyplot as plt\n\timport seaborn as sns\n\timport warnings\n\twarnings.filterwarnings(""ignore"")\n\tdf = pd.DataFrame({\'a1\':a1,\'a2\':a2,\'a3\':a3,\'a4\':a4})\n\tdf = df.sort_values(by=[\'a1\',\'a2\',\'a3\',\'a4\'])\n\tdf = df.reset_index(drop=True)\n\tdf = df.drop_duplicates()\n\tdf = df.reset_index(\n\t#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].\n\tcolumns=[\'a1\',\'a2\',\'a3\',\'a4\',\'Yes\',\'No\'])\n\tdf = df.drop([\'Yes\'],axis=1)\n\tdf = df.drop([\'No\'],axis=1)\n\tdf = df.drop([\'a1\',\'a2\',\'a3\',\'a4\'],axis=1)\n\tdf = df.drop_duplicates()\n\tdf = df.reset_index(drop=True)\n\tdf = df.drop([\'index\'],axis=1)\n\tdf = df.drop([\'Yes\',\'No\'],axis=1)\n\t#Compute the mean per column and store the value in a variable named means.\n\tmeans = df.groupby([\'a1\',\'a2\',\'a3\',\'a4\']).mean()\n\tmeans = means.reset_index(drop=True)\n\tmeans = means.drop([\'index\'],axis=1)\n\tmeans = means.drop([\'a1\',\'a2\',\'a3\',\'a4\'],axis=1)\n\tmeans = means.drop_duplicates()\n\tmeans = means.reset_index(drop=True)\n\tmeans = means.drop([\'index\'],axis=1)\n\tmeans = means.drop([\'a1\',\'a2\',\'a3\n\t#Print the variable means.\n']]","[['assert pandas_mean(50,21,131,2) == [35.5, 66.5]'], ['assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]'], ['assert pandas_mean(1,2,3,4) == [1.5, 3.5]'], ['assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]'], ['assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 31) (<string>, line 31)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 31) (<string>, line 31)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 31) (<string>, line 31)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 31) (<string>, line 31)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: unterminated string literal (detected at line 31) (<string>, line 31)', 'completion_id': 0})]})]"
"[['def fizz_buzz(a1,a2,a3,a4):\n\t#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".\n\tif a1%a2==0 and a1%a3==0 and a1%a4==0:\n\telif a1%a2==0 and a1%a3==0:\n\telif a1%a2==0 and a1%a4==0:\n\telif a1%a2==0:\n\telif a1%a3==0:\n\telif a1%\n\t#Create a list of integers ranging from {a3} to {a4}.\n\telse:\n\t#Call the written function for each element in the list and store the result as ""new_list"".\n\t\tnew_list = fizz_buzz(a1,a2,a3+1,a4)\n\t#Print out the list ""new_list"".\n']]","[[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]""], [""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']""], [""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]""], [""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]""], [""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 3 (<string>, line 4)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 3 (<string>, line 4)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 3 (<string>, line 4)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 3 (<string>, line 4)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'if' statement on line 3 (<string>, line 4)"", 'completion_id': 0})]})]"
"[['def bi-grams(a1):\n\t#Write a function that can take a string and return a list of word bigrams as pairs.\n\tbigrams = []\n\tfor i in range(len(a1)-1):\n\t\tbigrams.append((a1[i],a1[i+1]))\n\t#Assign the string ""{a1}"" to a variable named sentence.\n\tsentence = a1\n\t#Print out the bi-grams for the variable named sentence.\n']]","[[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]""], [""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]""], [""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]""], [""assert bi-grams('abc de') == [['abc', 'de']]""], [""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]})]"
"[['def top_note(a1,a2,a3,a4):\n\t#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".\n\tmy_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}\n\t#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.\n\tdef top_note(my_notes):\n\t\ttop_note = {}\n\t\tfor key in my_notes:\n\t\t\ttop_note[key] = max(my_notes[key])\n\t#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".\n\t\tmy_list = []\n\t\tfor key in my_notes:\n\t\t\tmy_list.append([key, my_notes[key].index(max(my_notes[key]))])\n\t#Find the name with the highest top_note and assign it to ""top_name"".\n\t\ttop_name = my_list[0][0]\n\t#Print the variable top_name.\n']]","[[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'""], [""assert top_note([0],[1],[2],[3]) == 'Mitch'""], [""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'""], [""assert top_note([-1],[-1],[1],[-1]) == 'Mike'""], [""assert top_note([0],[10000],[1000],[9999]) == 'John'""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def hex_to_binary(a1):\n\t#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".\n\t#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.\n\t#Assign the value {a1} to a variable named ""my_hex"".\n\tmy_hex = int(a1, 16)\n\t#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".\n\tmy_binary = bin(my_hex)\n\t#Convert ""my_binary"" back to a HEX number named ""result"".\n\tresult = int(my_binary, 2)\n\t#Print the result.\n']]","[['assert hex_to_binary(255) == 255'], ['assert hex_to_binary(170) == 170'], ['assert hex_to_binary(175) == 175'], ['assert hex_to_binary(18) == 18'], ['assert hex_to_binary(170) == 170']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]})]"
