candidate,test,Pass_one,result
"[['def sandwich_string(A):\n\tmy_string = ""{A}""\n\tmy_string = my_string.lower()\n\tchars = set(my_string)\n\tchars = sorted(chars)\n']]","[[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']""], [""assert sandwich_string('aaaaAAAAaaaa') == ['a']""], [""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']""], [""assert sandwich_string('ddddc') == ['c', 'd']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
[['def normalize_integer_list(numbers):\n\tnumbers = [int(x) for x in numbers]\n\ttotal = sum(numbers)\n\tnormalized = [x/total*100 for x in numbers]\n\tformatted = [str(x) for x in normalized]\n']],"[[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']""], [""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']""], ['assert normalize_integer_list([]) == []'], [""assert normalize_integer_list([1]) == ['100.0']""], [""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def convert_time(a1,a2):\n\treturn a1*60+a2\n\ndef convert_time_to_seconds(a1,a2):\n\treturn a1*3600+a2*60\n\ndef convert_time_to_minutes(a1,a2):\n\treturn a1*60+a2\n\ndef convert_time_to_hours(a1,a2):\n']]","[['assert convert_time(2,13) == 7980'], ['assert convert_time(1,2) == 3720'], ['assert convert_time(32,32) == 117120'], ['assert convert_time(0,32) == 1920'], ['assert convert_time(1,1) == 3660']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 12)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 12)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 12)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 12)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: expected an indented block after function definition on line 10 (<string>, line 12)', 'completion_id': 0})]})]"
[['def squared_fibonacci(a1):\n\ta2 = 0\n\tfor i in range(a1):\n\t\ta2 = a2 + i**2\n']],"[['assert squared_fibonacci(1) == 1'], ['assert squared_fibonacci(2) == 1'], ['assert squared_fibonacci(3) == 4'], ['assert squared_fibonacci(4) == 9'], ['assert squared_fibonacci(10) == 3025']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
[['def count_negative_numbers(A):\n\tmy_numbers = A\n\tn_neg = 0\n\tfor i in my_numbers:\n\t\tif i < 0:\n\t\t\tn_neg += 1\n']],"[['assert count_negative_numbers([1, 2, 3, 4]) == 4'], ['assert count_negative_numbers([-1, 2, 3, 4]) == 3'], ['assert count_negative_numbers([-1, -2, -3, -4]) == 4'], ['assert count_negative_numbers([-1000000, 1, 2]) == 2'], ['assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[[""def pandas_mean(a1,a2,a3,a4):\n\timport pandas as pd\n\tdf = pd.DataFrame({'Yes': [a1, a2], 'No': [a3, a4]})\n\tmeans = df.mean()\n""]]","[['assert pandas_mean(50,21,131,2) == [35.5, 66.5]'], ['assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]'], ['assert pandas_mean(1,2,3,4) == [1.5, 3.5]'], ['assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]'], ['assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def fizz_buzz(a1,a2,a3,a4):\n\tif a1%a2==0 and a1%a3==0 and a1%a4==0:\n\t\treturn ""fizzbuzz""\n\tif a1%a2==0:\n\t\treturn ""fizz""\n\tnew_list = []\n\tfor i in range(a1,a2+1):\n']]","[[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]""], [""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']""], [""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]""], [""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]""], [""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'for' statement on line 7 (<string>, line 9)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'for' statement on line 7 (<string>, line 9)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'for' statement on line 7 (<string>, line 9)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'for' statement on line 7 (<string>, line 9)"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: expected an indented block after 'for' statement on line 7 (<string>, line 9)"", 'completion_id': 0})]})]"
[['def bi-grams(a1):\n\tbigrams = []\n\tsentence = a1\n\tfor i in range(len(sentence)-1):\n']],"[[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]""], [""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]""], [""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]""], [""assert bi-grams('abc de') == [['abc', 'de']]""], [""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: invalid syntax (<string>, line 1)', 'completion_id': 0})]})]"
"[['def top_note(a1,a2,a3,a4):\n\tmy_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}\n\tdef top_note(my_notes):\n\t\ttop_note = {}\n\t\tfor key, value in my_notes.items():\n\t\t\tif value[0] > value[1] and value[0] > value[2]:\n\t\t\t\ttop_note[key] = value[0]\n\t\t\telif value[1] > value[0] and value[1] > value[2]:\n\t\t\t\ttop_note[key] = value[1]\n\t\t\telse:\n\t\t\t\ttop_note[key] = value[2]\n\t\treturn top_note\n\tmy_list = []\n\ttop_name = top_note(my_notes)\n']]","[[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'""], [""assert top_note([0],[1],[2],[3]) == 'Mitch'""], [""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'""], [""assert top_note([-1],[-1],[1],[-1]) == 'Mike'""], [""assert top_note([0],[10000],[1000],[9999]) == 'John'""]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': 'failed: ', 'completion_id': 0})]})]"
"[['def hex_to_binary(a1):\n\treturn bin(int(a1, 16))[2:]\n\ndef binary_to_hex(a2):\n\treturn hex(int(a2, 2))[2:]\n\ndef to_hex(a3):\n\treturn hex(int(a3))[2:]\n\n\tmy_binary = hex_to_binary(my_hex)\n\tresult = binary_to_hex(my_binary)\n']]","[['assert hex_to_binary(255) == 255'], ['assert hex_to_binary(170) == 170'], ['assert hex_to_binary(175) == 175'], ['assert hex_to_binary(18) == 18'], ['assert hex_to_binary(170) == 170']]","[0.0, 0.0, 0.0, 0.0, 0.0]","[defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]}), defaultdict(<class 'list'>, {0: [(0, {'task_id': 0, 'passed': False, 'result': ""failed: int() can't convert non-string with explicit base"", 'completion_id': 0})]})]"
