,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,test_list,gen_code
0,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Sandwich string,Append a string in the middle of another string.,1,def sandwich_string(A):,"[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('aaaaAAAAaaaa') == ['a']"", ""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert sandwich_string('ddddc') == ['c', 'd']""]","['def sandwich_string(A):\n\t#Assign the string ""{A}"" to a variable named ""my_string"".\n\tmy_string = ""{A}""', 'def sandwich_string(A):\n\t#Lowercase the given string ""my_string"".\n\tA = A.lower()', 'def sandwich_string(A):\n\t#Assign the distinct characters of the string to a variable named ""chars"".\n\tchars = set(A)', 'def sandwich_string(A):\n\t#Sort these characters in alphabetical order.\n\tA.sort()', 'def sandwich_string(A):\n\t#Print the resulting list of characters.\n\tfor i in range(len(A)):']"
1,"['Define a list of integers named ""numbers"" with the values {numbers}.', 'Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".', 'Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".', 'Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".', 'Print the variable ""formatted"".']","[{'numbers': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}, {'numbers': [56, 97, 19, 57, 69]}, {'numbers': []}, {'numbers': [1]}, {'numbers': [10000, 1]}]","[['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2'], ['18.8', '32.6', '6.4', '19.1', '23.2'], [], ['100.0'], ['100.0', '0.0']]",128.0,math,Normalize integer list,Normalize a list of positive integers and print formatted percentages.,2,def normalize_integer_list(numbers):,"[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']"", ""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']"", 'assert normalize_integer_list([]) == []', ""assert normalize_integer_list([1]) == ['100.0']"", ""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]","['def normalize_integer_list(numbers):\n\t#Define a list of integers named ""numbers"" with the values {numbers}.\n\tnumbers = [int(x) for x in numbers]', 'def normalize_integer_list(numbers):\n\t#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".\n\ttotal = sum(numbers)', 'def normalize_integer_list(numbers):\n\t#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".\n\tnormalized = []\n\tfor number in numbers:\n\t\tnormalized.append(number/100)', 'def normalize_integer_list(numbers):\n\t#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".\n\tformatted = []\n\tfor number in numbers:\n\t\tformatted.append(str(number).replace(""."", "",""))', 'def normalize_integer_list(numbers):\n\t#Print the variable ""formatted"".\n\tformatted = []\n\tfor number in numbers:\n\t\tformatted.append(str(number))\n\treturn formatted']"
2,"['Write a function that takes an integer minutes and converts it to seconds.', 'Write a function that takes an integer hours and converts it to seconds.', 'Print the total seconds of {a1} hours and {a2} minutes.']","[{'a1': 2, 'a2': 13}, {'a1': 1, 'a2': 2}, {'a1': 32, 'a2': 32}, {'a1': 0, 'a2': 32}, {'a1': 1, 'a2': 1}]","[7980, 3720, 117120, 1920, 3660]",128.0,math,Convert time,Convert units of time.,3,"def convert_time(a1,a2):","['assert convert_time(2,13) == 7980', 'assert convert_time(1,2) == 3720', 'assert convert_time(32,32) == 117120', 'assert convert_time(0,32) == 1920', 'assert convert_time(1,1) == 3660']","['def convert_time(a1,a2):\n\t#Write a function that takes an integer minutes and converts it to seconds.', 'def convert_time(a1,a2):\n\t#Write a function that takes an integer hours and converts it to seconds.\n\tif a1 < 12:\n\telse:', 'def convert_time(a1,a2):\n\t#Print the total seconds of {a1} hours and {a2} minutes.\n\treturn a1*3600+a2*60']"
3,"['Implement a function which returns the n-th Fibonacci number.', 'Implement a function that computes the square of an integer argument.', 'Print out the square of {a1}-th Fibonacci number.']","[{'a1': 1}, {'a1': 2}, {'a1': 3}, {'a1': 4}, {'a1': 10}]","[1, 1, 4, 9, 3025]",128.0,math,Squared Fibonacci,Print the squared fibonacci numbers.,4,def squared_fibonacci(a1):,"['assert squared_fibonacci(1) == 1', 'assert squared_fibonacci(2) == 1', 'assert squared_fibonacci(3) == 4', 'assert squared_fibonacci(4) == 9', 'assert squared_fibonacci(10) == 3025']","['def squared_fibonacci(a1):\n\t#Implement a function which returns the n-th Fibonacci number.\n\ta2 = 0\n\ta3 = 1\n\tn = 0\n\twhile n < a1:\n\t\tn += 1\n\t\ta2, a3 = a3, a2 + a3', 'def squared_fibonacci(a1):\n\t#Implement a function that computes the square of an integer argument.', 'def squared_fibonacci(a1):\n\t#Print out the square of {a1}-th Fibonacci number.\n\ta2 = 0\n\ta3 = 1\n\twhile a2 < a1:\n\t\ta2 = a3\n\t\ta3 = a2 + a1']"
4,"['Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".', 'Count the number of negative numbers in the list as ""n_neg"".', 'Count the number of positive numbers in the list as ""n_pos"".', 'Print out the larger number of those two.']","[{'A': '[1,2,3,4]'}, {'A': '[-1,2,3,4]'}, {'A': '[-1,-2,-3,-4]'}, {'A': '[-1000000, 1, 2]'}, {'A': '[-1, 0.2, 0.3, 0.4]'}]","[4, 3, 4, 2, 3]",128.0,array,Count negative numbers,Count negative numbers in a given list.,5,def count_negative_numbers(A):,"['assert count_negative_numbers([1, 2, 3, 4]) == 4', 'assert count_negative_numbers([-1, 2, 3, 4]) == 3', 'assert count_negative_numbers([-1, -2, -3, -4]) == 4', 'assert count_negative_numbers([-1000000, 1, 2]) == 2', 'assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']","['def count_negative_numbers(A):\n\t#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".\n\tmy_numbers = A\n\tnegative_numbers = 0\n\tfor i in my_numbers:\n\t\tif i < 0:\n\t\t\tnegative_numbers += 1', 'def count_negative_numbers(A):\n\t#Count the number of negative numbers in the list as ""n_neg"".\n\tn_neg = 0\n\tfor i in range(len(A)):\n\t\tif A[i] < 0:\n\t\t\tn_neg += 1', 'def count_negative_numbers(A):\n\t#Count the number of positive numbers in the list as ""n_pos"".\n\tn_pos = 0\n\tfor i in range(len(A)):\n\t\tif A[i] > 0:\n\t\t\tn_pos += 1', 'def count_negative_numbers(A):\n\t#Print out the larger number of those two.\n\tfor i in range(len(A)):\n\t\tfor j in range(i+1, len(A)):\n\t\t\tif A[i] < A[j]:']"
5,"['Import the pandas library.', 'Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].', 'Compute the mean per column and store the value in a variable named means.', 'Print the variable means.']","[{'a1': '50', 'a2': '21', 'a3': '131', 'a4': '2'}, {'a1': '-10', 'a2': '10', 'a3': '-20', 'a4': '20'}, {'a1': '1', 'a2': '2', 'a3': '3', 'a4': '4'}, {'a1': '-1', 'a2': '-2', 'a3': '-3', 'a4': '-4'}, {'a1': '-10', 'a2': '-20', 'a3': '-30', 'a4': '-40'}]","[[35.5, 66.5], [0.0, 0.0], [1.5, 3.5], [-1.5, -3.5], [-15.0, -35.0]]",128.0,data science,Pandas mean,Construct and compute the mean of a pandas df.,6,"def pandas_mean(a1,a2,a3,a4):","['assert pandas_mean(50,21,131,2) == [35.5, 66.5]', 'assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]', 'assert pandas_mean(1,2,3,4) == [1.5, 3.5]', 'assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]', 'assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']","['def pandas_mean(a1,a2,a3,a4):\n\t#Import the pandas library.\n\timport pandas as pd\n\timport numpy as np\n\timport matplotlib.pyplot as plt\n\timport seaborn as sns\n\timport warnings\n\twarnings.filterwarnings(""ignore"")\n\tdf = pd.DataFrame({\'a1\':a1,\'a2\':a2,\'a3\':a3,\'a4\':a4})\n\tdf = df.sort_values(by=[\'a1\',\'a2\',\'a3\',\'a4\'])\n\tdf = df.reset_index(drop=True)\n\tdf = df.drop_duplicates()\n\tdf = df.reset_index(', 'def pandas_mean(a1,a2,a3,a4):\n\t#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].\n\tdf = pd.DataFrame({\'Yes\': [a1,a2], \'No\': [a3,a4]})', 'def pandas_mean(a1,a2,a3,a4):\n\t#Compute the mean per column and store the value in a variable named means.\n\tmeans = a1.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean(axis=1)\n\tmeans = means.mean', 'def pandas_mean(a1,a2,a3,a4):\n\t#Print the variable means.']"
6,"['Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".', 'Create a list of integers ranging from {a3} to {a4}.', 'Call the written function for each element in the list and store the result as ""new_list"".', 'Print out the list ""new_list"".']","[{'a1': 3, 'a2': 5, 'a3': 0, 'a4': 4}, {'a1': 5, 'a2': 3, 'a3': 0, 'a4': 9}, {'a1': 9, 'a2': 3, 'a3': 0, 'a4': 2}, {'a1': 2, 'a2': 4, 'a3': 0, 'a4': 7}, {'a1': 2, 'a2': 4, 'a3': 4, 'a4': 7}]","[['fizzbuzz', 1, 2, 'fizz', 4], ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz'], ['fizzbuzz', 1, 2], ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7], ['fizzbuzz', 5, 'fizz', 7]]",128.0,algorithm,Fizz buzz,Solve the fizz buzz problem.,7,"def fizz_buzz(a1,a2,a3,a4):","[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]"", ""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']"", ""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]"", ""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]"", ""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]","['def fizz_buzz(a1,a2,a3,a4):\n\t#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".\n\tif a1%a2==0 and a1%a3==0 and a1%a4==0:\n\telif a1%a2==0 and a1%a3==0:\n\telif a1%a2==0 and a1%a4==0:\n\telif a1%a2==0:\n\telif a1%a3==0:\n\telif a1%', 'def fizz_buzz(a1,a2,a3,a4):\n\t#Create a list of integers ranging from {a3} to {a4}.\n\tlist_of_numbers = [a3,a4]\n\tfor i in range(a1,a2):\n\t\tif i % 3 == 0 and i % 5 == 0:\n\t\t\tlist_of_numbers.append(i)', 'def fizz_buzz(a1,a2,a3,a4):\n\t#Call the written function for each element in the list and store the result as ""new_list"".\n\tnew_list = [fizz_buzz(a1,a2,a3,a4) for a1 in a1]\n\tnew_list = [fizz_buzz(a1,a2,a3,a4) for a1 in a2]\n\tnew_list = [fizz_buzz(a1,a2,a3,a4) for a1 in a3]\n\tnew_list = [fizz_buzz(a1,a2,a3,a4) for a1 in a4]', 'def fizz_buzz(a1,a2,a3,a4):\n\t#Print out the list ""new_list"".\n\tnew_list = []\n\tfor i in range(a1,a2+1):\n\t\tif i % 3 == 0 and i % 5 == 0:\n\t\t\tnew_list.append(""FizzBuzz"")\n\t\telif i % 3 == 0:\n\t\t\tnew_list.append(""Fizz"")\n\t\telif i % 5 == 0:\n\t\t\tnew_list.append(""Buzz"")\n\t\telse:\n\t\t\tnew_list.append(i)']"
7,"['Write a function that can take a string and return a list of word bigrams as pairs.', 'Assign the string ""{a1}"" to a variable named sentence.', 'Print out the bi-grams for the variable named sentence.']","[{'a1': 'Have free hours and love children? Drive kids to school, soccer practice and other activities.'}, {'a1': 'Hello World Foo Bar'}, {'a1': 'AA BB CC'}, {'a1': 'abc de'}, {'a1': 'AB CD EF'}]","[[['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']], [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']], [['AA', 'BB'], ['BB', 'CC']], [['abc', 'de']], [['AB', 'CD'], ['CD', 'EF']]]",128.0,string,Bi-grams,Print the bi-grams of a sentence.,8,def bi-grams(a1):,"[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]"", ""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]"", ""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]"", ""assert bi-grams('abc de') == [['abc', 'de']]"", ""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]","['def bi-grams(a1):\n\t#Write a function that can take a string and return a list of word bigrams as pairs.\n\tbigrams = []\n\tfor i in range(len(a1)-1):\n\t\tbigrams.append((a1[i],a1[i+1]))', 'def bi-grams(a1):\n\t#Assign the string ""{a1}"" to a variable named sentence.\n\tsentence = a1\n\tsentence = sentence.lower()\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.split()\n\tsentence = "" "".join(sentence)\n\tsentence = sentence.', 'def bi-grams(a1):\n\t#Print out the bi-grams for the variable named sentence.\n\tfor i in range(len(a1)-1):']"
8,"['Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".', 'Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.', 'For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".', 'Find the name with the highest top_note and assign it to ""top_name"".', 'Print the variable top_name.']","[{'a1': [3, 5, 4], 'a2': [3, 1, 1], 'a3': [1, 2, 3], 'a4': [0, 4, 4]}, {'a1': [0], 'a2': [1], 'a3': [2], 'a4': [3]}, {'a1': [0, 7], 'a2': [1, 9], 'a3': [2, 7], 'a4': [3, 6]}, {'a1': [-1], 'a2': [-1], 'a3': [1], 'a4': [-1]}, {'a1': [0], 'a2': [10000], 'a3': [1000], 'a4': [9999]}]","['Kevin', 'Mitch', 'Mike', 'Mike', 'John']",128.0,dict,Top note,Print name with top note out of a dict.,9,"def top_note(a1,a2,a3,a4):","[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'"", ""assert top_note([0],[1],[2],[3]) == 'Mitch'"", ""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'"", ""assert top_note([-1],[-1],[1],[-1]) == 'Mike'"", ""assert top_note([0],[10000],[1000],[9999]) == 'John'""]","['def top_note(a1,a2,a3,a4):\n\t#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".\n\tmy_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}', 'def top_note(a1,a2,a3,a4):\n\t#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.\n\tdef top_note_dict(a1,a2,a3,a4):\n\t\ta5 = {}\n\t\tfor key in a1:\n\t\t\ta5[key] = a1[key]\n\t\tfor key in a2:\n\t\t\ta5[key] = a2[key]\n\t\tfor key in a3:\n\t\t\ta5[key] = a3[key]\n\t\tfor key in a4:\n\t\t\ta5[key] = a4[key]\n\t\ta6 = {}\n\t\tfor key in a5:\n\t\t\tif', 'def top_note(a1,a2,a3,a4):\n\t#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".\n\tmy_list = []\n\tfor name in a1:\n\t\tif a1[name] > a2[name]:\n\t\t\tif a1[name] > a3[name]:\n\t\t\t\tif a1[name] > a4[name]:\n\t\t\t\t\tmy_list.append([name,a1[name]])', 'def top_note(a1,a2,a3,a4):\n\t#Find the name with the highest top_note and assign it to ""top_name"".\n\ttop_name = """"\n\ttop_note = 0\n\tfor i in range(len(a1)):\n\t\tif a1[i] > top_note:\n\t\t\ttop_note = a1[i]\n\t\t\ttop_name = a2[i]\n\tfor i in range(len(a3)):\n\t\tif a3[i] > top_note:\n\t\t\ttop_note = a3[i]\n\t\t\ttop_name = a4[i]', 'def top_note(a1,a2,a3,a4):\n\t#Print the variable top_name.']"
9,"['Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".', 'Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.', 'Assign the value {a1} to a variable named ""my_hex"".', 'Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".', 'Convert ""my_binary"" back to a HEX number named ""result"".', 'Print the result.']","[{'a1': '0xFF'}, {'a1': '0xAA'}, {'a1': '0xAF'}, {'a1': '0x12'}, {'a1': '0xAA'}]","[255, 170, 175, 18, 170]",128.0,math,Hex to binary,Hex to binary and reverse.,10,def hex_to_binary(a1):,"['assert hex_to_binary(255) == 255', 'assert hex_to_binary(170) == 170', 'assert hex_to_binary(175) == 175', 'assert hex_to_binary(18) == 18', 'assert hex_to_binary(170) == 170']","['def hex_to_binary(a1):\n\t#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".', 'def hex_to_binary(a1):\n\t#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.', 'def hex_to_binary(a1):\n\t#Assign the value {a1} to a variable named ""my_hex"".\n\tmy_hex = a1\n\tbinary = """"\n\tfor i in range(len(my_hex)):\n\t\tbinary += bin(int(my_hex[i], 16))[2:].zfill(8)', 'def hex_to_binary(a1):\n\t#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".\n\tmy_binary = """"\n\tfor i in range(len(a1)):\n\t\tmy_binary += bin(int(a1[i], 16))[2:].zfill(8)', 'def hex_to_binary(a1):\n\t#Convert ""my_binary"" back to a HEX number named ""result"".\n\tresult = 0\n\tfor i in range(len(a1)):\n\t\tresult = result + int(a1[i], 16) * (2 ** (len(a1) - i - 1))', 'def hex_to_binary(a1):\n\t#Print the result.']"
