,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,test_list,gen_code
0,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Sandwich string,Append a string in the middle of another string.,1,def sandwich_string(A):,"[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('aaaaAAAAaaaa') == ['a']"", ""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert sandwich_string('ddddc') == ['c', 'd']""]","['#Assign the string ""{A}"" to a variable named ""my_string"".\nmy_string = ""A""\n\n#Print the value of my_string.\nprint(my_string)\n\n#Assign the string ""{B}"" to a variable named ""my_string"".\nmy_string = ""B""\n\n#Print the value of my_string.\nprint(my_string)\n\n#Assign the string ""{C}"" to a variable named ""my_string"".\nmy_string = ""C""\n\n#Print the value of my_string.\nprint(my_string)\n\n#Assign the string ""{D}"" to a variable named ""', '#Lowercase the given string ""my_string"".\ndef lowercase(my_string):\n    return my_string.lower()\n\n#Uppercase the given string ""my_string"".\ndef uppercase(my_string):\n    return my_string.upper()\n\n#Return the length of the given string ""my_string"".\ndef length(my_string):\n    return len(my_string)\n\n#Return the first character of the given string ""my_string"".\ndef first_char(my_string):\n    return my_string[0]\n\n#Return the last character of the given string ""my_string"".\ndef', '#Assign the distinct characters of the string to a variable named ""chars"".\nchars = string.ascii_lowercase\n\n#Create a variable named ""count"" that will be used to count the number of times each character appears in the string.\ncount = {}\n\n#Loop through the characters in the string.\nfor char in chars:\n    #If the character is not in the dictionary, add it to the dictionary.\n    if char not in count:\n        count[char] = 1\n    #If the character is in the dictionary, add 1 to the value of the character in the dictionary.\n    else:\n        count[char] += 1\n\n#Print the dictionary', ""#Sort these characters in alphabetical order.\n\tfor i in range(len(s)):\n\t\tfor j in range(i+1, len(s)):\n\t\t\tif s[i] > s[j]:\n\t\t\t\ts[i], s[j] = s[j], s[i]\n\treturn ''.join(s)\n\ndef main():\n\ts = input()\n\tprint(sort_string(s))\n\nif __name__ == '__main__':\n\tmain()"", '#Print the resulting list of characters.\nprint(characters)\n\n#Print the length of the list.\nprint(len(characters))\n\n#Print the first character.\nprint(characters[0])\n\n#Print the last character.\nprint(characters[-1])\n\n#Print the middle character.\nprint(characters[len(characters)//2])\n\n#Print the character at the specified index.\nprint(characters[1])\n\n#Print the character at the specified index.\nprint(characters[len(characters)//2])\n\n#Print the character at the specified index.\nprint(characters[len']"
1,"['Define a list of integers named ""numbers"" with the values {numbers}.', 'Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".', 'Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".', 'Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".', 'Print the variable ""formatted"".']","[{'numbers': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}, {'numbers': [56, 97, 19, 57, 69]}, {'numbers': []}, {'numbers': [1]}, {'numbers': [10000, 1]}]","[['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2'], ['18.8', '32.6', '6.4', '19.1', '23.2'], [], ['100.0'], ['100.0', '0.0']]",128.0,math,Normalize integer list,Normalize a list of positive integers and print formatted percentages.,2,def normalize_integer_list(numbers):,"[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']"", ""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']"", 'assert normalize_integer_list([]) == []', ""assert normalize_integer_list([1]) == ['100.0']"", ""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]","['#Define a list of integers named ""numbers"" with the values {numbers}.\nnumbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\n\n#Print the list ""numbers"" with the values {numbers}.\nprint(numbers)\n\n#Print the length of the list ""numbers"" with the value {len(numbers)}.\nprint(len(numbers))\n\n#Print the first element of the list ""numbers"" with the value {numbers[0]}.\nprint(numbers[0])\n\n#Print the last element of the list ""numbers"" with the value {numbers', '#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".\ntotal = sum(numbers)\n\n#Print the result.\nprint(""The sum of the elements in variable \\""numbers\\"" is: "" + str(total))\n', '#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".\nnormalized = [x/sum(list) * 100 for x in list]\n\n#Print the list.\nprint(normalized)\n\n#Create a new list with the same elements as the original list, but with the values multiplied by 100.\nnew_list = [x * 100 for x in list]\n\n#Print the new list.\nprint(new_list)\n\n#Create a new list with the same elements as the original list, but with the values divided by 100.\nnew_list = [x / 1', '#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".\n#Print the formatted string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.\n\n#Hint: Use the format() function to format the string.', '#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint(formatted)\n\n#Print the variable ""formatted"".\nprint']"
2,"['Write a function that takes an integer minutes and converts it to seconds.', 'Write a function that takes an integer hours and converts it to seconds.', 'Print the total seconds of {a1} hours and {a2} minutes.']","[{'a1': 2, 'a2': 13}, {'a1': 1, 'a2': 2}, {'a1': 32, 'a2': 32}, {'a1': 0, 'a2': 32}, {'a1': 1, 'a2': 1}]","[7980, 3720, 117120, 1920, 3660]",128.0,math,Convert time,Convert units of time.,3,"def convert_time(a1,a2):","['assert convert_time(2,13) == 7980', 'assert convert_time(1,2) == 3720', 'assert convert_time(32,32) == 117120', 'assert convert_time(0,32) == 1920', 'assert convert_time(1,1) == 3660']","['#Write a function that takes an integer minutes and converts it to seconds.\n\ndef minutes_to_seconds(minutes):\n    return minutes * 60\n\nprint(minutes_to_seconds(10))\n\n#Write a function that takes a string and returns the string reversed.\n\ndef reverse_string(string):\n    return string[::-1]\n\nprint(reverse_string(""Hello""))\n\n#Write a function that takes a string and returns the string with the first letter in uppercase.\n\ndef capitalize_first_letter(string):\n    return string[0].upper() + string[1:]\n\nprint(capitalize_first_letter(""hello', '#Write a function that takes an integer hours and converts it to seconds.\n\ndef convert_hours_to_seconds(hours):\n    return hours * 3600\n\nprint(convert_hours_to_seconds(1))\nprint(convert_hours_to_seconds(2))\nprint(convert_hours_to_seconds(3))\nprint(convert_hours_to_seconds(4))\nprint(convert_hours_to_seconds(5))\nprint(convert_hours_to_seconds(6))\nprint(convert_hours_to_seconds(7))\nprint(convert_hours_to_seconds(8))', '#Print the total seconds of {a1} hours and {a2} minutes.\nprint(f""{a1} hours and {a2} minutes"")\n\n#Print the total seconds of {a1} hours and {a2} minutes.\nprint(f""{a1} hours and {a2} minutes"")\n\n#Print the total seconds of {a1} hours and {a2} minutes.\nprint(f""{a1} hours and {a2} minutes"")\n\n#Print the total seconds of {a1} hours and {a2} minutes.\nprint(f""{a1} hours and {a2} minutes"")\n\n#Print']"
3,"['Implement a function which returns the n-th Fibonacci number.', 'Implement a function that computes the square of an integer argument.', 'Print out the square of {a1}-th Fibonacci number.']","[{'a1': 1}, {'a1': 2}, {'a1': 3}, {'a1': 4}, {'a1': 10}]","[1, 1, 4, 9, 3025]",128.0,math,Squared Fibonacci,Print the squared fibonacci numbers.,4,def squared_fibonacci(a1):,"['assert squared_fibonacci(1) == 1', 'assert squared_fibonacci(2) == 1', 'assert squared_fibonacci(3) == 4', 'assert squared_fibonacci(4) == 9', 'assert squared_fibonacci(10) == 3025']","['#Implement a function which returns the n-th Fibonacci number.\n\ndef fibonacci(n):\n    if n == 0:\n        return 0\n    elif n == 1:\n        return 1\n    else:\n        return fibonacci(n-1) + fibonacci(n-2)\n\nprint(fibonacci(5))\n', '#Implement a function that computes the square of an integer argument.\n\ndef square(x):\n    return x * x\n\nprint(square(5))\n\n#Implement a function that computes the cube of an integer argument.\n\ndef cube(x):\n    return x * x * x\n\nprint(cube(5))\n\n#Implement a function that computes the factorial of an integer argument.\n\ndef factorial(x):\n    if x == 0:\n        return 1\n    else:\n        return x * factorial(x - 1)\n\nprint(factorial(5))\n\n#Implement a function that computes the sum of the squares of the first', '#Print out the square of {a1}-th Fibonacci number.\nprint(fibonacci(a1))\n\n#Print out the square of {a2}-th Fibonacci number.\nprint(fibonacci(a2))\n\n#Print out the square of {a3}-th Fibonacci number.\nprint(fibonacci(a3))\n\n#Print out the square of {a4}-th Fibonacci number.\nprint(fibonacci(a4))\n\n#Print out the square of {a5}-th Fibonacci number.\nprint(fibonacci(a5))\n\n#Print out the square of {a6}-th Fibonacci']"
4,"['Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".', 'Count the number of negative numbers in the list as ""n_neg"".', 'Count the number of positive numbers in the list as ""n_pos"".', 'Print out the larger number of those two.']","[{'A': '[1,2,3,4]'}, {'A': '[-1,2,3,4]'}, {'A': '[-1,-2,-3,-4]'}, {'A': '[-1000000, 1, 2]'}, {'A': '[-1, 0.2, 0.3, 0.4]'}]","[4, 3, 4, 2, 3]",128.0,array,Count negative numbers,Count negative numbers in a given list.,5,def count_negative_numbers(A):,"['assert count_negative_numbers([1, 2, 3, 4]) == 4', 'assert count_negative_numbers([-1, 2, 3, 4]) == 3', 'assert count_negative_numbers([-1, -2, -3, -4]) == 4', 'assert count_negative_numbers([-1000000, 1, 2]) == 2', 'assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']","['#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".\nmy_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\n\n#Print the list of numbers ""{A}"".\nprint(my_numbers)\n\n#Print the length of the list ""{A}"".\nprint(len(my_numbers))\n\n#Print the first element of the list ""{A}"".\nprint(my_numbers[0])\n\n#Print the last element of the list ""{A}"".\nprint(my_numbers[-1])\n\n#Print the middle element of the', '#Count the number of negative numbers in the list as ""n_neg"".\nn_neg = 0\nfor i in range(len(list_of_numbers)):\n    if list_of_numbers[i] < 0:\n        n_neg += 1\n\n#Print the number of negative numbers in the list.\nprint(""The number of negative numbers in the list is: "", n_neg)\n\n#Count the number of positive numbers in the list as ""n_pos"".\nn_pos = 0\nfor i in range(len(list_of_numbers)):\n    if list_of_numbers[i] > 0:\n        n', '#Count the number of positive numbers in the list as ""n_pos"".\nn_pos = len([x for x in list_of_numbers if x > 0])\nprint(n_pos)\n\n#Count the number of negative numbers in the list as ""n_neg"".\nn_neg = len([x for x in list_of_numbers if x < 0])\nprint(n_neg)\n\n#Count the number of zeroes in the list as ""n_zeroes"".\nn_zeroes = len([x for x in list_of_numbers if x == 0])\nprint(n_zeroes)', '#Print out the larger number of those two.\nprint(max(a,b))\n']"
5,"['Import the pandas library.', 'Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].', 'Compute the mean per column and store the value in a variable named means.', 'Print the variable means.']","[{'a1': '50', 'a2': '21', 'a3': '131', 'a4': '2'}, {'a1': '-10', 'a2': '10', 'a3': '-20', 'a4': '20'}, {'a1': '1', 'a2': '2', 'a3': '3', 'a4': '4'}, {'a1': '-1', 'a2': '-2', 'a3': '-3', 'a4': '-4'}, {'a1': '-10', 'a2': '-20', 'a3': '-30', 'a4': '-40'}]","[[35.5, 66.5], [0.0, 0.0], [1.5, 3.5], [-1.5, -3.5], [-15.0, -35.0]]",128.0,data science,Pandas mean,Construct and compute the mean of a pandas df.,6,"def pandas_mean(a1,a2,a3,a4):","['assert pandas_mean(50,21,131,2) == [35.5, 66.5]', 'assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]', 'assert pandas_mean(1,2,3,4) == [1.5, 3.5]', 'assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]', 'assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']","['#Import the pandas library.\nimport pandas as pd\n\n#Import the numpy library.\nimport numpy as np\n\n#Import the matplotlib library.\nimport matplotlib.pyplot as plt\n\n#Import the seaborn library.\nimport seaborn as sns\n\n#Import the statsmodels library.\nimport statsmodels.api as sm\n\n#Import the statsmodels.formula.api as smf\n\n#Import the statsmodels.tsa.api as smt\n\n#Import the statsmodels.tsa.stattools as smts\n\n#Import the statsmodels.tsa.stattools.stattools as smtst', '#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].\ndf = pd.DataFrame({\'Yes\': [a1, a2], \'No\': [a3, a4]})\n\n#Print the dataframe.\nprint(df)\n\n#Print the first 5 rows of the dataframe.\nprint(df.head())\n\n#Print the last 5 rows of the dataframe.\nprint(df.tail())\n\n#Print the first 5 rows of the dataframe.\nprint(df.head(5))\n\n#Print the last 5 rows of the dataframe.\nprint(df.tail(5))\n\n#Print the first', '#Compute the mean per column and store the value in a variable named means.\nmeans = df.mean(axis=0)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the mean per column.\nprint(means)\n\n#Print the', '#Print the variable means.\nprint(means)\n\n#Print the variable stds.\nprint(stds)\n\n#Print the variable variances.\nprint(variances)\n\n#Print the variable skews.\nprint(skews)\n\n#Print the variable kurtosis.\nprint(kurtosis)\n\n#Print the variable entropy.\nprint(entropy)\n\n#Print the variable entropy.\nprint(entropy)\n\n#Print the variable entropy.\nprint(entropy)\n\n#Print the variable entropy.\nprint(entropy)\n\n#Print the variable entropy.']"
6,"['Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".', 'Create a list of integers ranging from {a3} to {a4}.', 'Call the written function for each element in the list and store the result as ""new_list"".', 'Print out the list ""new_list"".']","[{'a1': 3, 'a2': 5, 'a3': 0, 'a4': 4}, {'a1': 5, 'a2': 3, 'a3': 0, 'a4': 9}, {'a1': 9, 'a2': 3, 'a3': 0, 'a4': 2}, {'a1': 2, 'a2': 4, 'a3': 0, 'a4': 7}, {'a1': 2, 'a2': 4, 'a3': 4, 'a4': 7}]","[['fizzbuzz', 1, 2, 'fizz', 4], ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz'], ['fizzbuzz', 1, 2], ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7], ['fizzbuzz', 5, 'fizz', 7]]",128.0,algorithm,Fizz buzz,Solve the fizz buzz problem.,7,"def fizz_buzz(a1,a2,a3,a4):","[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]"", ""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']"", ""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]"", ""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]"", ""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]","['#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".\n\ndef fizzbuzz(a1, a2):\n    for i in range(a1, a2+1):\n        if i % 3 == 0 and i % 5 == 0:\n            print(""fizzbuzz"")\n        elif i % 3 == 0:\n            print(""fizz"")\n        elif i % 5 == 0:\n            print(""buzz"")\n        else:\n            print(i)\n\nfizzbuzz(1, 100)\n', '#Create a list of integers ranging from {a3} to {a4}.\na3 = 1\na4 = 10\na5 = 100\na6 = 1000\na7 = 10000\na8 = 100000\na9 = 1000000\na10 = 10000000\na11 = 100000000\na12 = 1000000000\na13 = 10000000000\na1', '#Call the written function for each element in the list and store the result as ""new_list"".\nnew_list = [written(x) for x in list]\n\n#Print the new list.\nprint(new_list)\n', '#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list ""new_list"".\nprint(new_list)\n\n#Print out the list']"
7,"['Write a function that can take a string and return a list of word bigrams as pairs.', 'Assign the string ""{a1}"" to a variable named sentence.', 'Print out the bi-grams for the variable named sentence.']","[{'a1': 'Have free hours and love children? Drive kids to school, soccer practice and other activities.'}, {'a1': 'Hello World Foo Bar'}, {'a1': 'AA BB CC'}, {'a1': 'abc de'}, {'a1': 'AB CD EF'}]","[[['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']], [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']], [['AA', 'BB'], ['BB', 'CC']], [['abc', 'de']], [['AB', 'CD'], ['CD', 'EF']]]",128.0,string,Bi-grams,Print the bi-grams of a sentence.,8,def bi-grams(a1):,"[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]"", ""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]"", ""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]"", ""assert bi-grams('abc de') == [['abc', 'de']]"", ""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]","['#Write a function that can take a string and return a list of word bigrams as pairs.\n#For example, given the string ""the quick brown fox jumps over the lazy dog"",\n#you should return [""the"", ""quick"", ""brown"", ""fox"", ""jumps"", ""over"", ""lazy"", ""dog""].\n\ndef bigrams(s):\n    return [s[i:i+2] for i in range(len(s)-1)]\n\nprint(bigrams(""the quick brown fox jumps over the lazy dog""))\n', '#Assign the string ""{a1}"" to a variable named sentence.\nsentence = ""Hello World!""\n\n#Print the sentence.\nprint(sentence)\n\n#Assign the string ""{a1}"" to a variable named sentence.\nsentence = ""Hello World!""\n\n#Print the sentence.\nprint(sentence)\n\n#Assign the string ""{a1}"" to a variable named sentence.\nsentence = ""Hello World!""\n\n#Print the sentence.\nprint(sentence)\n\n#Assign the string ""{a1}"" to a variable named sentence.\nsentence = ""Hello World!""\n\n#Print the sentence.\nprint(sentence)\n\n#Assign', '#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#Print out the bi-grams for the variable named sentence.\nprint(sentence)\n\n#']"
8,"['Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".', 'Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.', 'For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".', 'Find the name with the highest top_note and assign it to ""top_name"".', 'Print the variable top_name.']","[{'a1': [3, 5, 4], 'a2': [3, 1, 1], 'a3': [1, 2, 3], 'a4': [0, 4, 4]}, {'a1': [0], 'a2': [1], 'a3': [2], 'a4': [3]}, {'a1': [0, 7], 'a2': [1, 9], 'a3': [2, 7], 'a4': [3, 6]}, {'a1': [-1], 'a2': [-1], 'a3': [1], 'a4': [-1]}, {'a1': [0], 'a2': [10000], 'a3': [1000], 'a4': [9999]}]","['Kevin', 'Mitch', 'Mike', 'Mike', 'John']",128.0,dict,Top note,Print name with top note out of a dict.,9,"def top_note(a1,a2,a3,a4):","[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'"", ""assert top_note([0],[1],[2],[3]) == 'Mitch'"", ""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'"", ""assert top_note([-1],[-1],[1],[-1]) == 'Mike'"", ""assert top_note([0],[10000],[1000],[9999]) == 'John'""]","['#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".\nmy_notes = {\n    ""Kevin"": [a1, a2, a3, a4],\n    ""John"": [a1, a2, a3, a4],\n    ""Mike"": [a1, a2, a3, a4],\n    ""Mitch"": [a1, a2, a3, a4]\n}\n\n#Print the dictionary ""my_notes""\nprint(my_notes)\n\n#Print the value of the key ""John""\nprint(my_notes[""John""])\n\n#Print the value of the key ""', '#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.\n\ndef top_note(dictionary):\n    return {k: v[0] for k, v in dictionary.items()}\n\n#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""bottom_note"": 4 }}.\n\ndef bottom_note(dictionary):\n    return {k: v[-1] for k, v in dictionary.items()}\n\n#Create a function that takes a dictionary of objects like {{ ""name"": ""', '#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".\n#Then sort the list by the second element of the pair.\n#Then print the top 10 names and their top notes.\n\nmy_dict = {\n    ""A"": 10,\n    ""B"": 20,\n    ""C"": 30,\n    ""D"": 40,\n    ""E"": 50,\n    ""F"": 60,\n    ""G"": 70,\n    ""H"": 80,\n    ""I"": 90,\n    ""J"": 100,\n    ""K"": 110,\n    ""', '#Find the name with the highest top_note and assign it to ""top_name"".\n#If there are multiple names with the same top_note, pick the one with the highest top_note.\n#If there are no names with the same top_note, assign ""None"" to ""top_name"".\n#Return the top_name.\n#\n#Note: The names in the list top_names are sorted in ascending order.\n#\n#Example 1:\n#\n#Input: top_notes = [""C"", ""C#"", ""D"", ""D#"", ""E"", ""F"", ""F#"", ""G"", ""G#"", ""A"", ""A#"", ""', '#Print the variable top_name.\nprint(top_name)\n\n#Print the variable top_age.\nprint(top_age)\n\n#Print the variable top_height.\nprint(top_height)\n\n#Print the variable top_weight.\nprint(top_weight)\n\n#Print the variable top_eyes.\nprint(top_eyes)\n\n#Print the variable top_teeth.\nprint(top_teeth)\n\n#Print the variable top_hair.\nprint(top_hair)\n\n#Print the variable top_skin.\nprint(']"
9,"['Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".', 'Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.', 'Assign the value {a1} to a variable named ""my_hex"".', 'Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".', 'Convert ""my_binary"" back to a HEX number named ""result"".', 'Print the result.']","[{'a1': '0xFF'}, {'a1': '0xAA'}, {'a1': '0xAF'}, {'a1': '0x12'}, {'a1': '0xAA'}]","[255, 170, 175, 18, 170]",128.0,math,Hex to binary,Hex to binary and reverse.,10,def hex_to_binary(a1):,"['assert hex_to_binary(255) == 255', 'assert hex_to_binary(170) == 170', 'assert hex_to_binary(175) == 175', 'assert hex_to_binary(18) == 18', 'assert hex_to_binary(170) == 170']","['#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".\ndef to_binary(hex_number):\n    binary_number = """"\n    while hex_number > 0:\n        binary_number = str(hex_number % 2) + binary_number\n        hex_number = hex_number // 2\n    return binary_number\n\n#Create a function that will take a binary number and returns the HEX equivalent (as an integer). E.g., to_hex(11111111) = 0xFF.\ndef to_hex(binary_number):\n    hex_number = 0\n    for i in range(len', '#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.\ndef to_hex(s):\n    return int(s, 2)\n\n#Create a function that will take the output of the above function and return the binary number. E.g., to_bin(""11111111"") = 11111111.\ndef to_bin(s):\n    return int(s, 2)\n\n#Create a function that will take the output of the above function and return the decimal number. E.g., to_dec(""11111111"") = 11111', '#Assign the value {a1} to a variable named ""my_hex"".\nmy_hex = a1\n\n#Print the value of my_hex.\nprint(my_hex)\n\n#Assign the value {a2} to a variable named ""my_oct"".\nmy_oct = a2\n\n#Print the value of my_oct.\nprint(my_oct)\n\n#Assign the value {a3} to a variable named ""my_bin"".\nmy_bin = a3\n\n#Print the value of my_bin.\nprint(my_bin)\n\n#Assign the value {a4} to a variable named ""', '#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".\nmy_binary = my_hex.to_binary()\n\n#Print the binary equivalent of the variable ""my_hex""\nprint(my_binary)\n\n#Convert the variable ""my_binary"" into the hexadecimal equivalent as string named ""my_hexadecimal"".\nmy_hexadecimal = my_binary.to_hexadecimal()\n\n#Print the hexadecimal equivalent of the variable ""my_binary""\nprint(my_hexadecimal)\n\n#Convert the variable ""my_hexadecimal"" into the octal equivalent as string named ""my_octal"".\nmy_octal', '#Convert ""my_binary"" back to a HEX number named ""result"".\nresult = int(my_binary, 2)\n\n#Print the result.\nprint(result)\n', '#Print the result.\nprint(result)\n']"
