,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,gen_code,code_test,test_list
0,0,0,0,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Sandwich string,Append a string in the middle of another string.,1,def sandwich_string(A):,"def sandwich_string(A):
	#Assign the string ""{A}"" to a variable named ""my_string"".
	my_string = ""{A}""
	#Lowercase the given string ""my_string"".
	my_string = my_string.lower()
	#Assign the distinct characters of the string to a variable named ""chars"".
	chars = my_string.split()
	#Sort these characters in alphabetical order.
	chars = sorted(chars)
	#Print the resulting list of characters.
	print(chars)","def sandwich_string(A):
	#Assign the string ""{A}"" to a variable named ""my_string"".
	my_string = ""{A}""
	#Lowercase the given string ""my_string"".
	my_string = my_string.lower()
	#Assign the distinct characters of the string to a variable named ""chars"".
	chars = my_string.split()
	#Sort these characters in alphabetical order.
	chars = sorted(chars)
	#Print the resulting list of characters.
","[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('aaaaAAAAaaaa') == ['a']"", ""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert sandwich_string('ddddc') == ['c', 'd']""]"
1,1,1,1,"['Define a list of integers named ""numbers"" with the values {numbers}.', 'Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".', 'Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".', 'Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".', 'Print the variable ""formatted"".']","[{'numbers': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}, {'numbers': [56, 97, 19, 57, 69]}, {'numbers': []}, {'numbers': [1]}, {'numbers': [10000, 1]}]","[['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2'], ['18.8', '32.6', '6.4', '19.1', '23.2'], [], ['100.0'], ['100.0', '0.0']]",128.0,math,Normalize integer list,Normalize a list of positive integers and print formatted percentages.,2,def normalize_integer_list(numbers):,"def normalize_integer_list(numbers):
	#Define a list of integers named ""numbers"" with the values {numbers}.
	new_numbers = []
	#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".
	total = sum(numbers)
	#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".
	normalized = [int(i/total*100) for i in numbers]
	#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".
	formatted = [str(i) + ""."" for i in normalized]
	#Print the variable ""formatted"".
	print(formatted)","def normalize_integer_list(numbers):
	#Define a list of integers named ""numbers"" with the values {numbers}.
	new_numbers = []
	#Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".
	total = sum(numbers)
	#Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".
	normalized = [int(i/total*100) for i in numbers]
	#Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".
	formatted = [str(i) + ""."" for i in normalized]
	#Print the variable ""formatted"".
","[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']"", ""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']"", 'assert normalize_integer_list([]) == []', ""assert normalize_integer_list([1]) == ['100.0']"", ""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]"
2,2,2,2,"['Write a function that takes an integer minutes and converts it to seconds.', 'Write a function that takes an integer hours and converts it to seconds.', 'Print the total seconds of {a1} hours and {a2} minutes.']","[{'a1': 2, 'a2': 13}, {'a1': 1, 'a2': 2}, {'a1': 32, 'a2': 32}, {'a1': 0, 'a2': 32}, {'a1': 1, 'a2': 1}]","[7980, 3720, 117120, 1920, 3660]",128.0,math,Convert time,Convert units of time.,3,"def convert_time(a1,a2):","def convert_time(a1,a2):
	#Write a function that takes an integer minutes and converts it to seconds.
	#The return value should be in seconds.
	#Write a function that takes an integer hours and converts it to seconds.
	#Print the total seconds of {a1} hours and {a2} minutes.","def convert_time(a1,a2):
	#Write a function that takes an integer minutes and converts it to seconds.
	#The return value should be in seconds.
	#Write a function that takes an integer hours and converts it to seconds.
","['assert convert_time(2,13) == 7980', 'assert convert_time(1,2) == 3720', 'assert convert_time(32,32) == 117120', 'assert convert_time(0,32) == 1920', 'assert convert_time(1,1) == 3660']"
3,3,3,3,"['Implement a function which returns the n-th Fibonacci number.', 'Implement a function that computes the square of an integer argument.', 'Print out the square of {a1}-th Fibonacci number.']","[{'a1': 1}, {'a1': 2}, {'a1': 3}, {'a1': 4}, {'a1': 10}]","[1, 1, 4, 9, 3025]",128.0,math,Squared Fibonacci,Print the squared fibonacci numbers.,4,def squared_fibonacci(a1):,"def squared_fibonacci(a1):
	#Implement a function which returns the n-th Fibonacci number.
	#The Fibonacci sequence is defined by the following recurrence relation:
	#Implement a function that computes the square of an integer argument.
	#Print out the square of {a1}-th Fibonacci number.","def squared_fibonacci(a1):
	#Implement a function which returns the n-th Fibonacci number.
	#The Fibonacci sequence is defined by the following recurrence relation:
	#Implement a function that computes the square of an integer argument.
","['assert squared_fibonacci(1) == 1', 'assert squared_fibonacci(2) == 1', 'assert squared_fibonacci(3) == 4', 'assert squared_fibonacci(4) == 9', 'assert squared_fibonacci(10) == 3025']"
4,4,4,4,"['Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".', 'Count the number of negative numbers in the list as ""n_neg"".', 'Count the number of positive numbers in the list as ""n_pos"".', 'Print out the larger number of those two.']","[{'A': '[1,2,3,4]'}, {'A': '[-1,2,3,4]'}, {'A': '[-1,-2,-3,-4]'}, {'A': '[-1000000, 1, 2]'}, {'A': '[-1, 0.2, 0.3, 0.4]'}]","[4, 3, 4, 2, 3]",128.0,array,Count negative numbers,Count negative numbers in a given list.,5,def count_negative_numbers(A):,"def count_negative_numbers(A):
	#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".
	my_numbers = A
	#Count the number of negative numbers in the list as ""n_neg"".
	n_neg = 0
	#Count the number of positive numbers in the list as ""n_pos"".
	n_pos = 0
	#Print out the larger number of those two.
	for i in my_numbers:","def count_negative_numbers(A):
	#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".
	my_numbers = A
	#Count the number of negative numbers in the list as ""n_neg"".
	n_neg = 0
	#Count the number of positive numbers in the list as ""n_pos"".
	n_pos = 0
	#Print out the larger number of those two.
","['assert count_negative_numbers([1, 2, 3, 4]) == 4', 'assert count_negative_numbers([-1, 2, 3, 4]) == 3', 'assert count_negative_numbers([-1, -2, -3, -4]) == 4', 'assert count_negative_numbers([-1000000, 1, 2]) == 2', 'assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']"
5,5,5,5,"['Import the pandas library.', 'Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].', 'Compute the mean per column and store the value in a variable named means.', 'Print the variable means.']","[{'a1': '50', 'a2': '21', 'a3': '131', 'a4': '2'}, {'a1': '-10', 'a2': '10', 'a3': '-20', 'a4': '20'}, {'a1': '1', 'a2': '2', 'a3': '3', 'a4': '4'}, {'a1': '-1', 'a2': '-2', 'a3': '-3', 'a4': '-4'}, {'a1': '-10', 'a2': '-20', 'a3': '-30', 'a4': '-40'}]","[[35.5, 66.5], [0.0, 0.0], [1.5, 3.5], [-1.5, -3.5], [-15.0, -35.0]]",128.0,data science,Pandas mean,Construct and compute the mean of a pandas df.,6,"def pandas_mean(a1,a2,a3,a4):","def pandas_mean(a1,a2,a3,a4):
	#Import the pandas library.
	import pandas as pd
	#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].
	df=pd.DataFrame({""Yes"": [a1, a2], ""No"": [a3, a4]})
	#Compute the mean per column and store the value in a variable named means.
	means=df.mean()
	#Print the variable means.
	print(means)","def pandas_mean(a1,a2,a3,a4):
	#Import the pandas library.
	import pandas as pd
	#Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].
	df=pd.DataFrame({""Yes"": [a1, a2], ""No"": [a3, a4]})
	#Compute the mean per column and store the value in a variable named means.
	means=df.mean()
	#Print the variable means.
","['assert pandas_mean(50,21,131,2) == [35.5, 66.5]', 'assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]', 'assert pandas_mean(1,2,3,4) == [1.5, 3.5]', 'assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]', 'assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']"
6,6,6,6,"['Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".', 'Create a list of integers ranging from {a3} to {a4}.', 'Call the written function for each element in the list and store the result as ""new_list"".', 'Print out the list ""new_list"".']","[{'a1': 3, 'a2': 5, 'a3': 0, 'a4': 4}, {'a1': 5, 'a2': 3, 'a3': 0, 'a4': 9}, {'a1': 9, 'a2': 3, 'a3': 0, 'a4': 2}, {'a1': 2, 'a2': 4, 'a3': 0, 'a4': 7}, {'a1': 2, 'a2': 4, 'a3': 4, 'a4': 7}]","[['fizzbuzz', 1, 2, 'fizz', 4], ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz'], ['fizzbuzz', 1, 2], ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7], ['fizzbuzz', 5, 'fizz', 7]]",128.0,algorithm,Fizz buzz,Solve the fizz buzz problem.,7,"def fizz_buzz(a1,a2,a3,a4):","def fizz_buzz(a1,a2,a3,a4):
	#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".

	#Create a list of integers ranging from {a3} to {a4}.
	i = 0
	#Call the written function for each element in the list and store the result as ""new_list"".
	new_list = fizz_buzz(a1,a2,a3+1,a4)
	#Print out the list ""new_list"".
	print(new_list)","def fizz_buzz(a1,a2,a3,a4):
	#Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".

	#Create a list of integers ranging from {a3} to {a4}.
	i = 0
	#Call the written function for each element in the list and store the result as ""new_list"".
	new_list = fizz_buzz(a1,a2,a3+1,a4)
	#Print out the list ""new_list"".
","[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]"", ""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']"", ""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]"", ""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]"", ""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]"
7,7,7,7,"['Write a function that can take a string and return a list of word bigrams as pairs.', 'Assign the string ""{a1}"" to a variable named sentence.', 'Print out the bi-grams for the variable named sentence.']","[{'a1': 'Have free hours and love children? Drive kids to school, soccer practice and other activities.'}, {'a1': 'Hello World Foo Bar'}, {'a1': 'AA BB CC'}, {'a1': 'abc de'}, {'a1': 'AB CD EF'}]","[[['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']], [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']], [['AA', 'BB'], ['BB', 'CC']], [['abc', 'de']], [['AB', 'CD'], ['CD', 'EF']]]",128.0,string,Bi-grams,Print the bi-grams of a sentence.,8,def bigrams(a1):,"def bigrams(a1):
	#Write a function that can take a string and return a list of word bigrams as pairs.

	#Assign the string ""{a1}"" to a variable named sentence.
	sentence = a1
	#Print out the bi-grams for the variable named sentence.
	print(sentence)","def bigrams(a1):
	#Write a function that can take a string and return a list of word bigrams as pairs.

	#Assign the string ""{a1}"" to a variable named sentence.
	sentence = a1
	#Print out the bi-grams for the variable named sentence.
","[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]"", ""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]"", ""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]"", ""assert bi-grams('abc de') == [['abc', 'de']]"", ""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]"
8,8,8,8,"['Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".', 'Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.', 'For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".', 'Find the name with the highest top_note and assign it to ""top_name"".', 'Print the variable top_name.']","[{'a1': [3, 5, 4], 'a2': [3, 1, 1], 'a3': [1, 2, 3], 'a4': [0, 4, 4]}, {'a1': [0], 'a2': [1], 'a3': [2], 'a4': [3]}, {'a1': [0, 7], 'a2': [1, 9], 'a3': [2, 7], 'a4': [3, 6]}, {'a1': [-1], 'a2': [-1], 'a3': [1], 'a4': [-1]}, {'a1': [0], 'a2': [10000], 'a3': [1000], 'a4': [9999]}]","['Kevin', 'Mitch', 'Mike', 'Mike', 'John']",128.0,dict,Top note,Print name with top note out of a dict.,9,"def top_note(a1,a2,a3,a4):","def top_note(a1,a2,a3,a4):
	#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".
	my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
	#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.
	#Assign the function to ""top_note"".
	#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".
	#Find the name with the highest top_note and assign it to ""top_name"".
	#Print the variable top_name.","def top_note(a1,a2,a3,a4):
	#Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".
	my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
	#Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.
	#Assign the function to ""top_note"".
	#For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".
	#Find the name with the highest top_note and assign it to ""top_name"".
","[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'"", ""assert top_note([0],[1],[2],[3]) == 'Mitch'"", ""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'"", ""assert top_note([-1],[-1],[1],[-1]) == 'Mike'"", ""assert top_note([0],[10000],[1000],[9999]) == 'John'""]"
9,9,9,9,"['Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".', 'Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.', 'Assign the value {a1} to a variable named ""my_hex"".', 'Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".', 'Convert ""my_binary"" back to a HEX number named ""result"".', 'Print the result.']","[{'a1': '0xFF'}, {'a1': '0xAA'}, {'a1': '0xAF'}, {'a1': '0x12'}, {'a1': '0xAA'}]","[255, 170, 175, 18, 170]",128.0,math,Hex to binary,Hex to binary and reverse.,10,def hex_to_binary(a1):,"def hex_to_binary(a1):
	#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".
	return '{0:b}'.format(int(a1,16))
	#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.

	#Assign the value {a1} to a variable named ""my_hex"".
	#Convert the value {a1} to an integer and then convert that value to hexadecimal. E.g., to_hex(""11111111"") = 0xFF.
	#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".
	#Convert ""my_binary"" back to a HEX number named ""result"".
	#Print the result.","def hex_to_binary(a1):
	#Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".
	return '{0:b}'.format(int(a1,16))
	#Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.

	#Assign the value {a1} to a variable named ""my_hex"".
	#Convert the value {a1} to an integer and then convert that value to hexadecimal. E.g., to_hex(""11111111"") = 0xFF.
	#Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".
	#Convert ""my_binary"" back to a HEX number named ""result"".
","['assert hex_to_binary(255) == 255', 'assert hex_to_binary(170) == 170', 'assert hex_to_binary(175) == 175', 'assert hex_to_binary(18) == 18', 'assert hex_to_binary(170) == 170']"
