,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,test_list,gen_code,code_test
0,0,"['Assign the string ""{A}"" to a variable named ""my_string"".', 'Lowercase the given string ""my_string"".', 'Assign the distinct characters of the string to a variable named ""chars"".', 'Sort these characters in alphabetical order.', 'Print the resulting list of characters.']","[{'A': 'abcde'}, {'A': 'abcdecadeCADE'}, {'A': 'aaaaAAAAaaaa'}, {'A': 'Jerry jERRY JeRRRY'}, {'A': 'ddddc'}]","[['a', 'b', 'c', 'd', 'e'], ['a', 'b', 'c', 'd', 'e'], ['a'], [' ', 'e', 'j', 'r', 'y'], ['c', 'd']]",128.0,string,Sandwich string,Append a string in the middle of another string.,1,def sandwich_string(A):,"[""assert sandwich_string('abcde') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('abcdecadeCADE') == ['a', 'b', 'c', 'd', 'e']"", ""assert sandwich_string('aaaaAAAAaaaa') == ['a']"", ""assert sandwich_string('Jerry jERRY JeRRRY') == [' ', 'e', 'j', 'r', 'y']"", ""assert sandwich_string('ddddc') == ['c', 'd']""]","def sandwich_string(A):
	my_string = ""{A}""
	print(my_string)
	return my_string

#Call the function sandwich_string with the value of 10.
sandwich_string(10)

#Assign the string ""sandwich"" to a variable named ""my_string"".
my_string = ""sandwich""
#Print the string ""sandwich"" to the screen.
print(my_string)
#
my_string = my_string.lower()
#Print the string ""sandwich"" to the screen.
print(my_string)
#
my_string = my_string.upper()
#Print the string ""SANDWICH"" to the screen.
print(my_string)
#
print(len(my_string))
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	.upper()
	)
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	.lower()
	)
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	)
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	)
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	)
#
print(my_
	.replace(""a"", ""A"")
	.sort()
	)
#
print(my_","def sandwich_string(A):
	my_string = ""{A}""
	print(my_string)
	return my_string

#Call the function sandwich_string with the value of 10.
"
1,1,"['Define a list of integers named ""numbers"" with the values {numbers}.', 'Calculate the sum of the elements in variable ""numbers"" and store the result to variable ""total"".', 'Divide each element of the list by the total and multiply by 100, store the result to variable ""normalized"".', 'Convert each element in variable ""normalized"" into a formatted string with single decimal point and store the result into ""formatted"".', 'Print the variable ""formatted"".']","[{'numbers': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}, {'numbers': [56, 97, 19, 57, 69]}, {'numbers': []}, {'numbers': [1]}, {'numbers': [10000, 1]}]","[['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2'], ['18.8', '32.6', '6.4', '19.1', '23.2'], [], ['100.0'], ['100.0', '0.0']]",128.0,math,Normalize integer list,Normalize a list of positive integers and print formatted percentages.,2,def normalize_integer_list(numbers):,"[""assert normalize_integer_list([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == ['1.8', '3.6', '5.5', '7.3', '9.1', '10.9', '12.7', '14.5', '16.4', '18.2']"", ""assert normalize_integer_list([56, 97, 19, 57, 69]) == ['18.8', '32.6', '6.4', '19.1', '23.2']"", 'assert normalize_integer_list([]) == []', ""assert normalize_integer_list([1]) == ['100.0']"", ""assert normalize_integer_list([10000, 1]) == ['100.0', '0.0']""]","def normalize_integer_list(numbers):
	return [int(x) for x in numbers]

def normalize_float_list(numbers):
	return [float(x) for x in numbers]

def normalize_string_list(strings):
	return [str(x) for x in strings]

","def normalize_integer_list(numbers):
	return [int(x) for x in numbers]

def normalize_float_list(numbers):
	return [float(x) for x in numbers]

def normalize_string_list(strings):
"
2,2,"['Write a function that takes an integer minutes and converts it to seconds.', 'Write a function that takes an integer hours and converts it to seconds.', 'Print the total seconds of {a1} hours and {a2} minutes.']","[{'a1': 2, 'a2': 13}, {'a1': 1, 'a2': 2}, {'a1': 32, 'a2': 32}, {'a1': 0, 'a2': 32}, {'a1': 1, 'a2': 1}]","[7980, 3720, 117120, 1920, 3660]",128.0,math,Convert time,Convert units of time.,3,"def convert_time(a1,a2):","['assert convert_time(2,13) == 7980', 'assert convert_time(1,2) == 3720', 'assert convert_time(32,32) == 117120', 'assert convert_time(0,32) == 1920', 'assert convert_time(1,1) == 3660']","def convert_time(a1,a2):
	return a1*60+a2

def convert_time_2(a1,a2):
	return a1*60+a2

def convert_time_3(a1,a2):
	return a1*60+a2

def convert_time_4(a1,a2):
	return a1*60+a2

def convert_time_5(a1,a2):
	return a1*60+a2

def convert_time_6(a1,a2):
	return a1*60+a2

def convert_time_7(a1,a2,a3):
	return a1*60+a2+a3
","def convert_time(a1,a2):
	return a1*60+a2

def convert_time_2(a1,a2):
	return a1*60+a2

def convert_time_3(a1,a2):
	return a1*60+a2

def convert_time_4(a1,a2):
	return a1*60+a2

def convert_time_5(a1,a2):
	return a1*60+a2

def convert_time_6(a1,a2):
	return a1*60+a2

def convert_time_7(a1,a2,a3):
"
3,3,"['Implement a function which returns the n-th Fibonacci number.', 'Implement a function that computes the square of an integer argument.', 'Print out the square of {a1}-th Fibonacci number.']","[{'a1': 1}, {'a1': 2}, {'a1': 3}, {'a1': 4}, {'a1': 10}]","[1, 1, 4, 9, 3025]",128.0,math,Squared Fibonacci,Print the squared fibonacci numbers.,4,def squared_fibonacci(a1):,"['assert squared_fibonacci(1) == 1', 'assert squared_fibonacci(2) == 1', 'assert squared_fibonacci(3) == 4', 'assert squared_fibonacci(4) == 9', 'assert squared_fibonacci(10) == 3025']","def squared_fibonacci(a1):
	
	print(a1, end = "" "")
	for i in range(a1-1):
		print(i, end = "" "")
		print(i**2, end = "" "")
	print()

#Call the function.
squared_fibonacci(10)","def squared_fibonacci(a1):
	
	print(a1, end = "" "")
	for i in range(a1-1):
		print(i, end = "" "")
		print(i**2, end = "" "")
	print()

#Call the function.
"
4,4,"['Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".', 'Count the number of negative numbers in the list as ""n_neg"".', 'Count the number of positive numbers in the list as ""n_pos"".', 'Print out the larger number of those two.']","[{'A': '[1,2,3,4]'}, {'A': '[-1,2,3,4]'}, {'A': '[-1,-2,-3,-4]'}, {'A': '[-1000000, 1, 2]'}, {'A': '[-1, 0.2, 0.3, 0.4]'}]","[4, 3, 4, 2, 3]",128.0,array,Count negative numbers,Count negative numbers in a given list.,5,def count_negative_numbers(A):,"['assert count_negative_numbers([1, 2, 3, 4]) == 4', 'assert count_negative_numbers([-1, 2, 3, 4]) == 3', 'assert count_negative_numbers([-1, -2, -3, -4]) == 4', 'assert count_negative_numbers([-1000000, 1, 2]) == 2', 'assert count_negative_numbers([-1, 0.2, 0.3, 0.4]) == 3']","def count_negative_numbers(A):
	my_numbers = A
	negative_numbers = []
	for i in my_numbers:
		if i < 0:
			negative_numbers.append(i)
	return negative_numbers

#Call the function ""{count_negative_numbers}"" with the list ""{A}"".
negative_numbers =
	n_neg = count_negative_numbers(A)
	print(n_neg)

#Write a function named ""count_positive_numbers"" that takes a list of numbers as input and returns a list of the numbers that are positive.
#The function should return a list of the numbers that are positive.
#The function should not modify the list of numbers.
#The function should return a list of the numbers that are positive.
#The function should not modify the list of numbers.


#Call the function ""{count_positive_numbers}"" with the list ""{A}"".
positive_numbers =
	n_pos = count_positive_numbers(A)
	print(n_pos)

#Write a function named ""count_odd_numbers"" that","def count_negative_numbers(A):
	my_numbers = A
	negative_numbers = []
	for i in my_numbers:
		if i < 0:
			negative_numbers.append(i)
	return negative_numbers

#Call the function ""{count_negative_numbers}"" with the list ""{A}"".
"
5,5,"['Import the pandas library.', 'Create a dataframe with a column labeled ""Yes"" with values [{a1}, {a2}] and a column named ""No"" with values [{a3}, {a4}].', 'Compute the mean per column and store the value in a variable named means.', 'Print the variable means.']","[{'a1': '50', 'a2': '21', 'a3': '131', 'a4': '2'}, {'a1': '-10', 'a2': '10', 'a3': '-20', 'a4': '20'}, {'a1': '1', 'a2': '2', 'a3': '3', 'a4': '4'}, {'a1': '-1', 'a2': '-2', 'a3': '-3', 'a4': '-4'}, {'a1': '-10', 'a2': '-20', 'a3': '-30', 'a4': '-40'}]","[[35.5, 66.5], [0.0, 0.0], [1.5, 3.5], [-1.5, -3.5], [-15.0, -35.0]]",128.0,data science,Pandas mean,Construct and compute the mean of a pandas df.,6,"def pandas_mean(a1,a2,a3,a4):","['assert pandas_mean(50,21,131,2) == [35.5, 66.5]', 'assert pandas_mean(-10,10,-20,20) == [0.0, 0.0]', 'assert pandas_mean(1,2,3,4) == [1.5, 3.5]', 'assert pandas_mean(-1,-2,-3,-4) == [-1.5, -3.5]', 'assert pandas_mean(-10,-20,-30,-40) == [-15.0, -35.0]']","def pandas_mean(a1,a2,a3,a4):
	import pandas as pd
	df = pd.DataFrame({'a1':a1,'a2':a2,'a3':a3,'a4':a4})
	mean = df.mean()
	return mean

#Define the function to calculate the median.
def pandas_median(a1,a2,a3,a4):
	import pandas as pd
	df = pd.DataFrame({'a1':a1,'a2':a2,'a3':a3,'a4':a4})
	median = df.median()
	return median

#Define the function to calculate the mode.
def pandas_mode(a1,a2,a3,a4):
	import pandas as pd
	df = pd.DataFrame({'a1':a1,'a2':a2,'a3':a3,'a4':a4})
	means = df.mean()
	modes = df.mode()
	return modes

#Define the function to calculate the variance.
def pandas_variance(a1,a2,a3,a4):
	import pandas as pd
	df = pd.DataFrame({'a1':a1,'a2':a2,'a3':a3,'a4':a4})
	means = df.mean()
	variances = df.var()
	return variances

#Define the function to calculate the standard deviation.
def pandas_standard_deviation(a1,a2,a3,a4):
	import pandas as pd","def pandas_mean(a1,a2,a3,a4):
	import pandas as pd
	df = pd.DataFrame({'a1':a1,'a2':a2,'a3':a3,'a4':a4})
	mean = df.mean()
	return mean

#Define the function to calculate the median.
"
6,6,"['Write a function that returns a number, for numbers multiple of {a1} print ""fizz"" instead of a number, for numbers multiple of {a2} print ""buzz"", for numbers which are multiples of both {a1} and {a2} ""fizzbuzz"".', 'Create a list of integers ranging from {a3} to {a4}.', 'Call the written function for each element in the list and store the result as ""new_list"".', 'Print out the list ""new_list"".']","[{'a1': 3, 'a2': 5, 'a3': 0, 'a4': 4}, {'a1': 5, 'a2': 3, 'a3': 0, 'a4': 9}, {'a1': 9, 'a2': 3, 'a3': 0, 'a4': 2}, {'a1': 2, 'a2': 4, 'a3': 0, 'a4': 7}, {'a1': 2, 'a2': 4, 'a3': 4, 'a4': 7}]","[['fizzbuzz', 1, 2, 'fizz', 4], ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz'], ['fizzbuzz', 1, 2], ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7], ['fizzbuzz', 5, 'fizz', 7]]",128.0,algorithm,Fizz buzz,Solve the fizz buzz problem.,7,"def fizz_buzz(a1,a2,a3,a4):","[""assert fizz_buzz(3,5,0,4) == ['fizzbuzz', 1, 2, 'fizz', 4]"", ""assert fizz_buzz(5,3,0,9) == ['fizzbuzz', 1, 2, 'buzz', 4, 'fizz', 'buzz', 7, 8, 'buzz']"", ""assert fizz_buzz(9,3,0,2) == ['fizzbuzz', 1, 2]"", ""assert fizz_buzz(2,4,0,7) == ['fizzbuzz', 1, 'fizz', 3, 'fizzbuzz', 5, 'fizz', 7]"", ""assert fizz_buzz(2,4,4,7) == ['fizzbuzz', 5, 'fizz', 7]""]","def fizz_buzz(a1,a2,a3,a4):
	list_of_numbers = [a3,a4]
	list_of_strings = [""Fizz"",""Buzz""]
	list_of_tuples = [(a1,a2),(a1,a3),(a1,a4),(a2,a3),(a2,a4),(a3,a4)]
	list_of_lists = [[a1,a2],[a1,a3],[a1,a4],[
	a2,a3,a4]]
	print(list_of_numbers)
	print(list_of_strings)
	print(list_of_tuples)
	print(list_of_lists)
	print(list_of_numbers)
	print(list_of_strings)
	print(list_of_tuples)
	print(list_of_lists)
	print(list_of_numbers)","def fizz_buzz(a1,a2,a3,a4):
	list_of_numbers = [a3,a4]
	list_of_strings = [""Fizz"",""Buzz""]
	list_of_tuples = [(a1,a2),(a1,a3),(a1,a4),(a2,a3),(a2,a4),(a3,a4)]
	list_of_lists = [[a1,a2],[a1,a3],[a1,a4],[
	a2,a3,a4]]
	print(list_of_numbers)
	print(list_of_strings)
	print(list_of_tuples)
	print(list_of_lists)
	print(list_of_numbers)
	print(list_of_strings)
	print(list_of_tuples)
	print(list_of_lists)
"
7,7,"['Write a function that can take a string and return a list of word bigrams as pairs.', 'Assign the string ""{a1}"" to a variable named sentence.', 'Print out the bi-grams for the variable named sentence.']","[{'a1': 'Have free hours and love children? Drive kids to school, soccer practice and other activities.'}, {'a1': 'Hello World Foo Bar'}, {'a1': 'AA BB CC'}, {'a1': 'abc de'}, {'a1': 'AB CD EF'}]","[[['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']], [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']], [['AA', 'BB'], ['BB', 'CC']], [['abc', 'de']], [['AB', 'CD'], ['CD', 'EF']]]",128.0,string,Bi-grams,Print the bi-grams of a sentence.,8,def bi-grams(a1):,"[""assert bi-grams('Have free hours and love children? Drive kids to school, soccer practice and other activities.') == [['Have', 'free'], ['free', 'hours'], ['hours', 'and'], ['and', 'love'], ['love', 'children?'], ['children?', 'Drive'], ['Drive', 'kids'], ['kids', 'to'], ['to', 'school,'], ['school,', 'soccer'], ['soccer', 'practice'], ['practice', 'and'], ['and', 'other'], ['other', 'activities.']]"", ""assert bi-grams('Hello World Foo Bar') == [['Hello', 'World'], ['World', 'Foo'], ['Foo', 'Bar']]"", ""assert bi-grams('AA BB CC') == [['AA', 'BB'], ['BB', 'CC']]"", ""assert bi-grams('abc de') == [['abc', 'de']]"", ""assert bi-grams('AB CD EF') == [['AB', 'CD'], ['CD', 'EF']]""]","def bi-grams(a1):
	sentence = a1
	bigrams = []
	for i in range(len(sentence)-1):
		#Create a variable named bigram.
		bigram = sentence[i] + sentence[i+1]
		#Add the bigram to the list named bigrams.
		bigrams.append(bigram)
	return bigrams

#Create a function named bigrams_count.
def b
	bigrams = bi_grams(sentence)
	print(len(bigrams))
	print(bigrams)

#Create a function named bigrams_count_2.
def bigrams_count_2(a1):
	sentence = a1
	bigrams = []
	for i in range(len(sentence)-1):
		#Create a variable named bigram.
		bigram =","def bi-grams(a1):
	sentence = a1
	bigrams = []
	for i in range(len(sentence)-1):
		#Create a variable named bigram.
		bigram = sentence[i] + sentence[i+1]
		#Add the bigram to the list named bigrams.
		bigrams.append(bigram)
	return bigrams

#Create a function named bigrams_count.
"
8,8,"['Assign the names [""Kevin"", ""John"", ""Mike"", ""Mitch""] as keys and corresponding notes [{a1}, {a2}, {a3}, {a4}] as values to a dictionary named ""my_notes"".', 'Create a function that takes a dictionary of objects like {{ ""name"": ""John"", ""notes"": [3, 5, 4] }} and returns a dictionary of objects like {{ ""name"": ""John"", ""top_note"": 5 }}.', 'For each name in the dictionary get the top_note and store the pairs of names and top_notes as ""my_list"".', 'Find the name with the highest top_note and assign it to ""top_name"".', 'Print the variable top_name.']","[{'a1': [3, 5, 4], 'a2': [3, 1, 1], 'a3': [1, 2, 3], 'a4': [0, 4, 4]}, {'a1': [0], 'a2': [1], 'a3': [2], 'a4': [3]}, {'a1': [0, 7], 'a2': [1, 9], 'a3': [2, 7], 'a4': [3, 6]}, {'a1': [-1], 'a2': [-1], 'a3': [1], 'a4': [-1]}, {'a1': [0], 'a2': [10000], 'a3': [1000], 'a4': [9999]}]","['Kevin', 'Mitch', 'Mike', 'Mike', 'John']",128.0,dict,Top note,Print name with top note out of a dict.,9,"def top_note(a1,a2,a3,a4):","[""assert top_note([3, 5, 4],[3, 1, 1],[1, 2, 3],[0, 4, 4]) == 'Kevin'"", ""assert top_note([0],[1],[2],[3]) == 'Mitch'"", ""assert top_note([0, 7],[1, 9],[2, 7],[3, 6]) == 'Mike'"", ""assert top_note([-1],[-1],[1],[-1]) == 'Mike'"", ""assert top_note([0],[10000],[1000],[9999]) == 'John'""]","def top_note(a1,a2,a3,a4):
	my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
	print(my_notes)
	print(my_notes.get(""Mitch""))
	def top_note(a1,a2,a3,a4):
		my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
		print(my_notes)
		print(my_notes.get(""Mitch""))
		#Create a function that takes a dictionary of objects like {{ ""
	
	top_name = max(my_notes, key=my_notes.get)
	print(top_name)
	top_note = max(my_notes.values())
	print(top_note)
	top_note = max(my_notes.values())
	print(top_note)","def top_note(a1,a2,a3,a4):
	my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
	print(my_notes)
	print(my_notes.get(""Mitch""))
	def top_note(a1,a2,a3,a4):
		my_notes = {""Kevin"": [a1,a2,a3,a4], ""John"": [a1,a2,a3,a4], ""Mike"": [a1,a2,a3,a4], ""Mitch"": [a1,a2,a3,a4]}
		print(my_notes)
		print(my_notes.get(""Mitch""))
		#Create a function that takes a dictionary of objects like {{ ""
	
	top_name = max(my_notes, key=my_notes.get)
	print(top_name)
	top_note = max(my_notes.values())
	print(top_note)
	top_note = max(my_notes.values())
"
9,9,"['Create a function that will take a HEX number and returns the binary equivalent (as a string). E.g., to_binary(0xFF) = ""11111111"".', 'Create a function that will take the output of the above function and return the HEX number. E.g., to_hex(""11111111"") = 0xFF.', 'Assign the value {a1} to a variable named ""my_hex"".', 'Convert the variable ""my_hex"" into the binary equivalent as string named ""my_binary"".', 'Convert ""my_binary"" back to a HEX number named ""result"".', 'Print the result.']","[{'a1': '0xFF'}, {'a1': '0xAA'}, {'a1': '0xAF'}, {'a1': '0x12'}, {'a1': '0xAA'}]","[255, 170, 175, 18, 170]",128.0,math,Hex to binary,Hex to binary and reverse.,10,def hex_to_binary(a1):,"['assert hex_to_binary(255) == 255', 'assert hex_to_binary(170) == 170', 'assert hex_to_binary(175) == 175', 'assert hex_to_binary(18) == 18', 'assert hex_to_binary(170) == 170']","def hex_to_binary(a1):
	return bin(int(a1, 16))[2:]

def binary_to_hex(a2):
	return hex(int(a2, 2))[2:]

def to_binary(a3):
	return hex_to_binary(a3)

def to_hex(a4):
	return binary_to_hex(a4)

def to_decimal(a5):

	my_hex = a5

	my_binary = to_binary(my_hex)

	my_decimal = int(my_binary, 2)

	return my_decimal

def to_octal(a6):

	my_hex = a6

	my_binary = to_binary(my_hex)

	my_decimal = int(my_binary, 2)

	my_octal = oct(my_decimal)

	return my_octal

def to_hexadecimal(a7):

	my_hex = a7

	my_binary
	result = hex(int(my_binary, 2))[2:]
	return result","def hex_to_binary(a1):
	return bin(int(a1, 16))[2:]

def binary_to_hex(a2):
	return hex(int(a2, 2))[2:]

def to_binary(a3):
	return hex_to_binary(a3)

def to_hex(a4):
	return binary_to_hex(a4)

def to_decimal(a5):

	my_hex = a5

	my_binary = to_binary(my_hex)

	my_decimal = int(my_binary, 2)

	return my_decimal

def to_octal(a6):

	my_hex = a6

	my_binary = to_binary(my_hex)

	my_decimal = int(my_binary, 2)

	my_octal = oct(my_decimal)

	return my_octal

def to_hexadecimal(a7):

	my_hex = a7

	my_binary
	result = hex(int(my_binary, 2))[2:]
"
